cid,std_smiles,CompRate_ylog,dG_MD_ylog,MolWeight,nbAtoms,nbHeavyAtoms,nbRing,nbRotBd,nbHBdAcc,ndHBdDon,TopoPolSurfAir,MolarRefract,CombDipolPolariz,LogP_pred,MP_pred,BP_pred,LogVP_pred,LogWS_pred,LogHL_pred,RT_pred,LogKOA_pred,ionization,pKa_b_pred,LogD55_pred,LogD74_pred,LogOH_pred,nbNring,pKa_b_pred_divN,pKa_b_pred_multN,frac_OS_N,pKa_b_pred_div_O_S,frac_N,frac_OS_atoms,frac_ring_N,frac_Nring_atoms,frac_ring_atoms,"(),(-),xC","(),(-),(-),(-),xN","(),(-),(-),xC","(),(-),xO",C,N,O,"(),(-),(-),(-),xC","(),(-),(-),(-),(-),xC","(),(-),(-),xO","(),(-),(-),xS",S,"(),(-),xS"
108-01-0,CN(C)CCO,-0.5295337774318952,-1.777380819249396,89.084063972,17.0,6.0,0.0,2.0,2.0,1.0,23.47,26.2804,0.63,-0.136555424682794,-58.7657315622504,134.044794213564,0.501038198918034,1.0497498779552,-6.31173404612479,0.0,4.08389693079128,1.0,9.46003067670361,-4.09663371485578,-2.20035200605227,-10.0491967066498,0,9.46003067670361,9.46003067670361,1.0,9.46003067670361,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3179-63-3,CN(C)CCCO,-0.4634053371973297,-1.7708485475777669,103.099714036,20.0,7.0,0.0,3.0,2.0,1.0,23.47,29.192,0.697,0.143093575606053,0.122657873663738,163.415498004668,0.0387448838106345,0.989549897102059,-6.13838599021448,1.11640844863004,4.27876378508826,1.0,9.65976832073919,-4.01670480596261,-2.11905610355848,-10.7344369985638,0,9.65976832073919,9.65976832073919,1.0,9.65976832073919,0.05,0.05,0.0,0.0,0.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100-37-8,CCN(CC)CCO,-0.6843564037974678,-1.806987367409909,117.1153641,23.0,8.0,0.0,4.0,2.0,1.0,23.47,34.868,0.63,0.353824199082473,6.25107640418169,163.009747200712,0.144849634984294,0.929921608843357,-6.10041735951274,2.64796098344668,4.79750264974333,1.0,9.7398482000857,-3.88604900005936,-1.9880052775395,-10.7963705930626,0,9.7398482000857,9.7398482000857,1.0,9.7398482000857,0.0434782608695652,0.0434782608695652,0.0,0.0,0.0,2.0,1.0,4.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
622-93-5,CCN(CC)CCCO,-0.7045537780701484,-1.816606393585401,131.131014164,26.0,9.0,0.0,5.0,2.0,1.0,23.47,37.7796,0.697,0.649895570254818,-4.29996343513351,189.487417166872,0.0197577132177823,0.466677584675176,-6.20947509747118,5.11266082255141,5.7206671764965,1.0,9.94296883781939,-3.79308892813739,-1.8943154752778,-10.5257104506334,0,9.94296883781939,9.94296883781939,1.0,9.94296883781939,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0,2.0,1.0,5.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
108-16-7,CC(O)CN(C)C,-0.6199063761181337,-1.797589296715721,103.099714036,20.0,7.0,0.0,2.0,2.0,1.0,23.47,30.8648,0.591,0.199697679740278,123.363407414748,124.873300900995,0.157397853095845,0.937286473817942,-6.14747587169666,0.0,4.19495940318288,1.0,9.76313021141914,-4.06345622588993,-2.16531061441312,-10.7000538117528,0,9.76313021141914,9.76313021141914,1.0,9.76313021141914,0.05,0.05,0.0,0.0,0.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4402-32-8,CCN(CC)CC(C)O,-0.5440516628113669,-1.7966152231634418,131.131014164,26.0,9.0,0.0,4.0,2.0,1.0,23.47,39.4524,0.591,0.73699365055517,-5.65852008734929,186.649251992289,-0.62217248400639,0.422208507136568,-6.07237970032259,4.62735763536392,4.93275769632966,1.0,10.3130275416658,-4.07604057075634,-2.17656415446034,-10.7465680844443,0,10.3130275416658,10.3130275416658,1.0,10.3130275416658,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0,3.0,1.0,3.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
96-80-0,CC(C)N(CCO)C(C)C,-0.3001964695067938,-1.760486044555021,145.146664228,29.0,10.0,0.0,4.0,2.0,1.0,23.47,45.2776,0.552,1.67205923240698,-38.8447661741286,190.019311143199,-1.09250562527142,-1.07679043138101,-5.56386011871125,5.73690679952428,5.68986805004653,1.0,10.180266732698,-3.008216568323,-1.10892721051763,-10.4442217858942,0,10.180266732698,10.180266732698,1.0,10.180266732698,0.0344827586206896,0.0344827586206896,0.0,0.0,0.0,4.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
7005-47-2,CN(C)C(C)(C)CO,-0.3969751014297121,-1.7791188360271972,117.1153641,23.0,8.0,0.0,2.0,2.0,1.0,23.47,35.3362,0.551,0.290601334328885,18.9983992639189,159.966989282201,0.139537265564665,0.929386405792491,-6.11770990254469,1.73107593788502,4.30635375107839,1.0,9.81802095721184,-4.02744050396085,-2.1290751463049,-10.7367395217721,0,9.81802095721184,9.81802095721184,1.0,9.81802095721184,0.0434782608695652,0.0434782608695652,0.0,0.0,0.0,4.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
19059-68-8,CN(C)CC(C)(C)CO,-0.3561859493993604,-1.7616839765060075,131.131014164,26.0,9.0,0.0,3.0,2.0,1.0,23.47,39.9051,0.618,0.493230254917829,-4.05972511613236,186.852151527276,0.0165579685993562,0.474499605620852,-6.08195937704023,2.69486658105534,4.90221556508554,1.0,9.65023692438178,-3.65703739730325,-1.75944072113107,-10.471361105708,0,9.65023692438178,9.65023692438178,1.0,9.65023692438178,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0,4.0,1.0,2.0,1.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5464-15-3,CCN(C)CCC(C)O,-0.4486432288019052,-1.7744221297657845,131.131014164,26.0,9.0,0.0,4.0,2.0,1.0,23.47,38.0702,0.658,0.755945675098406,-5.21054044102431,187.073411932946,-0.615315660768664,0.438635847676387,-5.82127543333848,4.82451139342306,4.96413129690195,1.0,10.1435835114599,-3.88764770360547,-1.98842092189001,-10.4517830598055,0,10.1435835114599,10.1435835114599,1.0,10.1435835114599,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0,3.0,1.0,3.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
139-87-7,CCN(CCO)CCO,-0.1764284035282463,-1.7206217656813507,133.11027872,24.0,9.0,0.0,5.0,3.0,2.0,43.7,36.8665,0.885,-0.570294362301343,-49.8303249173002,246.965640027044,-3.49094878613484,0.875978731832176,-8.5275395302366,0.234300555531114,7.58656435208064,1.0,8.51287235242438,-3.58358812123394,-1.71542798573992,-10.4334799758019,0,8.51287235242438,8.51287235242438,2.0,17.02574470484876,0.0416666666666666,0.0833333333333333,0.0,0.0,0.0,1.0,1.0,5.0,2.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
121-93-7,CC(C)N(CCO)CCO,-0.4126583471273604,-1.7625929157110964,147.125928784,27.0,10.0,0.0,5.0,3.0,2.0,43.7,42.0713,0.846,-0.010037806885429,-2.48254871363051,242.001601722374,-4.17768687626914,0.877291091338477,-8.52654354481462,2.08875658570984,7.59805542136242,1.0,9.01865693269012,-3.52882628071707,-1.63902125716218,-10.3931168825347,0,9.01865693269012,9.01865693269012,2.0,18.03731386538024,0.037037037037037,0.074074074074074,0.0,0.0,0.0,2.0,1.0,4.0,2.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
