cid,avg_pred,avg_pred,avg_pred,avg_pred,avg_pred,CompRate_ylog,avg_pred_fin,abs_err,outlier
108-01-0,-0.4198744184560789,-0.48586159098807535,-0.44104493127068695,-0.4294850915116402,-0.43486762222671765,-0.5295337774318952,-0.4422267308906398,0.08730704654125543,
3179-63-3,-0.4193510115998186,-0.5010694409821367,-0.49406941063481796,-0.4428198039531708,-0.4761997562350585,-0.4634053371973297,-0.4667018846810005,0.0032965474836708086,
100-37-8,-0.5480856895446777,-0.4702513406442831,-0.48272063704761475,-0.46148446202278137,-0.4785390541418406,-0.6843564037974678,-0.48821623668023956,0.1961401671172282,
622-93-5,-0.5174278519322209,-0.5160760581493378,-0.5199900908739632,-0.4975571190060756,-0.5176126206256464,-0.7045537780701484,-0.5137327481174487,0.19082102995269967,
108-16-7,-0.4555216893955635,-0.43514252139871273,-0.46923763158781856,-0.44175445253848833,-0.4625762651551733,-0.6199063761181337,-0.45284651201515125,0.16705986410298246,
4402-32-8,-0.5685532233500128,-0.6222011158541954,-0.5557878351320182,-0.5686892465123184,-0.6000127179413144,-0.5440516628113669,-0.5830488277579718,0.03899716494660499,
96-80-0,-0.5822070365509924,-0.5805247386024713,-0.5812822886436879,-0.5961844867947674,-0.5794392621430835,-0.3001964695067938,-0.5839275625470004,0.2837310930402066,
7005-47-2,-0.526531994342804,-0.5868833187293591,-0.5539866089820862,-0.5834342665739356,-0.5648608883978257,-0.3969751014297121,-0.5631394154052021,0.16616431397548997,
19059-68-8,-0.5244334685592082,-0.5231044105477851,-0.4899434441107384,-0.5561610959523093,-0.47732841968536377,-0.3561859493993604,-0.514194167771081,0.15800821837172058,
5464-15-3,-0.5551965382499934,-0.6006308794021606,-0.5103737115859985,-0.5560702681541443,-0.49816274668970917,-0.4486432288019052,-0.5440868288164011,0.09544360001449592,
139-87-7,-0.24528391592743973,-0.17703740958696865,-0.1567089415350918,-0.22703395513046093,-0.23398142126506358,-0.1764284035282463,-0.20800912868900495,0.03158072516075866,
121-93-7,-0.34082207656323044,-0.36967420153505115,-0.40609703320710533,-0.38437795639038086,-0.3529474847754832,-0.4126583471273604,-0.37078375049425016,0.04187459663311022,
2160-93-2,-0.4528958483666514,-0.47835605469945214,-0.4857804477214813,-0.4805169105529785,-0.4921438867182974,-0.5672448988604829,-0.47793862961177214,0.08930626924871077,
623-57-4,-0.4673693947151386,-0.49074726767748833,-0.4818000675873404,-0.4542637765407562,-0.4850976196722766,-0.3258026353725788,-0.47585562523860003,0.15005298986602122,
621-56-7,-0.44837681335250845,-0.4506389021708427,-0.4619415155005151,-0.46614449243042644,-0.460083570242242,-0.8449694879675888,-0.45743705873930696,0.3875324292282818,1.0
102-71-6,-0.05886634811758995,-0.1091057873606972,-0.08019447326660156,-0.11562764589728422,-0.11444611609699337,-0.1692098016998241,-0.09564807414783327,0.07356172755199084,
2955-88-6,-0.5745157897472382,-0.5624497805262133,-0.573052087868493,-0.5901875085168703,-0.5818455697491259,-0.679612544116936,-0.5764101472815881,0.10320239683534782,
85391-19-1,-0.682985994772887,-0.6680443067713357,-0.6801274596339959,-0.6971713900566101,-0.6630296111106873,-0.4204984688427408,-0.6782717524691032,0.2577732836263624,
3040-44-6,-0.6145541130130545,-0.6543181956907711,-0.6037149325266745,-0.6003372032387299,-0.6044216156005859,-0.624181642749155,-0.6154692120139632,0.00871243073519179,
4847-93-2,-0.5444703102111816,-0.5581620062362582,-0.6309207884900399,-0.5859122393136016,-0.6048271164478918,-0.8195609038095794,-0.5848584921397946,0.23470241166978478,
533-15-3,-0.6495222449302673,-0.6336860390393746,-0.6732147896179741,-0.6647392692100007,-0.6626765733033129,-0.7841621557457928,-0.6567677832201859,0.12739437252560692,
3554-74-3,-0.340714295090711,-0.30293690633062625,-0.402239665389061,-0.3375747661270664,-0.3109008252023102,-0.2929331141707303,-0.33887329162795493,0.04594017745722462,
13444-24-1,-0.6374973139682181,-0.638940349341958,-0.633383572101593,-0.6417786057363795,-0.6043246641712883,-0.2516266952561503,-0.6311849010638875,0.3795582058077372,1.0
