cid,avg_pred,avg_pred,avg_pred,avg_pred,avg_pred,dG_MD_ylog,avg_pred_fin,abs_err,outlier
108-01-0,-1.7672371341534021,-1.7769900701950119,-1.7686520642817563,-1.7690468405105886,-1.7691257755194125,-1.777380819249396,-1.770210376932034,0.007170442317361969,
3179-63-3,-1.7695013844209857,-1.7796909662784777,-1.7826556246675056,-1.7736076138304981,-1.777756929397583,-1.7708485475777669,-1.77664250371901,0.005793956141243006,
100-37-8,-1.790483791646809,-1.7827037505249663,-1.7856141690400662,-1.7818982987599195,-1.7813165114298952,-1.806987367409909,-1.7844033042803311,0.022584063129577947,
622-93-5,-1.7851221561431885,-1.7855937480926514,-1.7828067580619773,-1.785615586099343,-1.7889467899546094,-1.816606393585401,-1.7856170076703541,0.030989385915046963,
108-16-7,-1.7763935298263311,-1.7691362243968252,-1.7762434482574463,-1.7724739909172058,-1.7760272973861462,-1.797589296715721,-1.7740548981567907,0.023534398558930247,
4402-32-8,-1.8015418119552102,-1.8078100178030914,-1.801774023159171,-1.800177095962788,-1.8044787645339966,-1.7966152231634418,-1.8031563426828512,0.0065411195194093885,
96-80-0,-1.8004168813953685,-1.8000762899963831,-1.8005095356275058,-1.8013983230996216,-1.800925449365474,-1.760486044555021,-1.8006652958968707,0.04017925134184974,
7005-47-2,-1.7851416938532374,-1.7953453063964844,-1.7906096339818456,-1.7951646151957512,-1.7926510465048526,-1.7791188360271972,-1.7917824591864342,0.01266362315923697,
19059-68-8,-1.7823320474410318,-1.7798230297935218,-1.781798779964447,-1.786249549052568,-1.7772648487072773,-1.7616839765060075,-1.7814936509917694,0.019809674485761875,
5464-15-3,-1.7958999775537379,-1.8007963422967952,-1.7903727852088116,-1.7956231021890436,-1.789048546149302,-1.7744221297657845,-1.794348150679538,0.019926020913753506,
139-87-7,-1.7301455860980361,-1.7189478287580937,-1.715675326836064,-1.7291397964994748,-1.7299014292840047,-1.7206217656813507,-1.7247619934951346,0.00414022781378387,
