std_smiles,source,MolWeight,nbAtoms,nbHeavyAtoms,nbRing,nbRotBd,nbHBdAcc,ndHBdDon,TopoPolSurfAir,MolarRefract,CombDipolPolariz,LogP_pred,MP_pred,BP_pred,LogVP_pred,LogWS_pred,LogHL_pred,RT_pred,LogKOA_pred,ionization,pKa_b_pred,LogD55_pred,LogD74_pred,LogOH_pred,nbNring,pKa_b_pred_divN,pKa_b_pred_multN,frac_OS_N,pKa_b_pred_div_O_S,frac_N,frac_OS_atoms,frac_ring_N,frac_Nring_atoms,frac_ring_atoms,C-C,C-C-C,C-N,C-N-C,C-C-N-C,C-C-C-N-C,C-N-C-C-O,C-C-N,C-C-N-C-C,C-C-C-N,N-C-C-O,C-C-C-O,C-C-C-C,C-C-O,C-O,C,N,O,C-C-C-C-O,C-C-O-C,C-O-C,C-C-C-C-N,N-C-C-C-O,C-C-C-O-C,O-C-O,C-N-C-C-N,N-C-C-N,C-N-C-C-S,N-C-C-S,C-C-S,C-C-S-C,C-S,C-S-C,S,C-C-O-C-C,C-O-C-O,C-O-C-C-N,C-C-N-C-O,C-N-C-O,N-C-O,N-C-C-C-N,C-O-C-C-O,O-C-C-O,O-C-C-C-O,N-C-N,C-N-C-N,C-C-N-C-N,C-N-C-N-C,C-S-C-N,C-N-C-S-C,N-C-S,C-N-C-S,C-C-N-C-S,N-C-S-C-N,C-C-O-C-O,C-O-C-O-C,C-C-C-C-C,C-C-C-S,O-C-C-C-S,O-C-N-C-S,S-C-N-C-S,O-C-N-C-O,C-C-C-S-C,C-C-S-C-C,C-N-C-O-C,C-O-C-N,C-C-O-C-N,C-C-O-N,C-C-O-N-C,C-O-N,C-N-O-C,C-C-N-O-C,N-O,C-N-O,C-C-N-O,N-C-C-N-O,C-S-C-C-N,C-C-S-C-N,N-C-C-C-S,N-C-O-C-O,C-S-C-C-O,O-C-C-S,N-C-N-C-O,C-C-C-C-S,S-C-C-S,O-C-O-C-O,C-S-C-S,S-C-S,C-S-C-C-S
C1CC1CN1CCC2OC2C1,screening,153.1153641,26,11,3,2,2,0,15.77,40.0675,0.893,1.55563890893176,42.0815156197294,226.873467303267,-1.14207497713654,0.0216368588991092,-4.42563336486714,6.6779473865557,5.01210489244209,1,7.86455134754521,-0.810784398970653,0.962972076164265,-10.5116754263274,1,7.86455134754521,7.86455134754521,1.0,7.86455134754521,0.0384615384615384,0.0384615384615384,1.0,1.0,0.1153846153846153,8,5,3,3,6,6,1,3,2,4,1,1,2,2,2,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CC(CN2CCOCC2)CCO1,screening,185.141578848,32,13,2,2,3,0,21.7,47.7476,1.006,1.34856459461672,126.061415412658,220.058217206729,-1.90393049565703,-0.0643957420844144,-5.13852433482448,6.41909542064187,5.77721718581485,1,7.6935068033163,-0.847714829391929,0.87644429341419,-10.4332342366425,1,7.6935068033163,7.6935068033163,2.0,15.3870136066326,0.03125,0.0625,1.0,1.0,0.0625,7,5,3,3,6,4,2,3,2,2,2,2,4,4,4,10,1,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1COC2(CCN(CC3CO3)CC2)O1,screening,199.120843404,31,14,3,2,4,0,34.23,47.5502,1.262,-0.056741574577778,71.2140330002912,242.075397159922,-2.54876232951447,0.254387977270965,-6.05308038802895,5.70495052139158,6.30748516520125,1,8.07060905805773,-2.62851634731523,-0.811389192760276,-10.4491588569297,1,8.07060905805773,8.07060905805773,3.0,24.21182717417319,0.032258064516129,0.0967741935483871,1.0,1.0,0.0967741935483871,7,4,3,3,6,4,2,3,2,3,1,4,2,7,6,10,1,3,0,4,2,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CCN(CC2CO2)C1,screening,127.099714036,22,9,2,2,2,0,15.77,32.587,0.821,0.389859123015702,-14.5796283017772,206.029663388099,0.386360794174561,0.488618213581406,-4.98818178334961,4.06795917064847,4.52593940469933,1,7.79124840604796,-1.90360455879817,-0.149439749112685,-10.6796301925507,1,7.79124840604796,7.79124840604796,1.0,7.79124840604796,0.0454545454545454,0.0454545454545454,1.0,1.0,0.0909090909090909,5,3,3,3,4,2,2,3,2,1,1,0,0,1,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CCN(CC2CO2)CC1,screening,141.1153641,25,10,2,2,2,0,15.77,35.4986,0.821,1.26558998008491,4.35059312515216,218.179448239398,-0.258020421617727,-0.0630299996053152,-4.67066891272883,6.79938945323913,4.44597732383846,1,7.58688888538969,-0.824839887409125,0.861139235077357,-10.5297903133353,1,7.58688888538969,7.58688888538969,1.0,7.58688888538969,0.04,0.04,1.0,1.0,0.08,6,4,3,3,6,4,2,3,2,3,1,0,2,1,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1OC1CN1CCN(CC2CO2)CC1,screening,198.136827816,32,14,3,4,4,0,31.54,53.5276,1.365,-0.838096015458308,131.295423874687,261.545138413504,-2.89812621053121,0.932273815638401,-6.1027217932976,3.76195367132209,6.3325578045219,1,5.87943002852574,-1.3690236338089,-0.851000659830709,-10.4124224709404,1,2.93971501426287,11.75886005705148,1.0,5.87943002852574,0.0625,0.0625,0.5,0.5,0.09375,6,2,6,6,12,4,4,6,4,2,2,0,0,2,4,10,2,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CN(CC2CO2)CCO1,screening,143.094628656,23,10,2,2,3,0,25.0,37.8073,1.006,0.0985651010061899,-0.770494097007917,229.598945072449,0.226437352159468,0.796317268643112,-4.90454890627165,2.8475957944014,4.31289878204357,1,5.88404673702017,-0.435624736489603,0.0855245939142295,-10.5802401489452,1,5.88404673702017,5.88404673702017,2.0,11.76809347404034,0.0434782608695652,0.0869565217391304,1.0,1.0,0.0869565217391304,4,1,3,3,6,2,4,3,2,1,3,0,0,3,4,7,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CN(CC2CO2)CCS1,screening,159.071785036,23,10,2,2,2,0,41.07,43.9817,1.01,1.51358029904818,72.0300480938682,223.816587634951,-1.09259338288469,-1.19180448141733,-4.88631959600953,5.6476673107787,5.52979017185123,1,6.32107867123039,0.631433600391169,1.47879819362858,-10.5383197969944,1,6.32107867123039,6.32107867123039,2.0,12.64215734246078,0.0434782608695652,0.0869565217391304,1.0,1.0,0.0869565217391304,4,1,3,3,6,2,2,3,2,1,1,0,0,1,2,7,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1CCOC(CN2CCOCC2)OC1,screening,201.136493468,33,14,2,2,4,0,30.93,49.7414,1.191,-0.21456039373001,101.999248094783,228.562438319557,-2.0414911722839,0.116793600978192,-6.03308783223934,6.17487270742557,6.3371622721627,1,6.12630080969406,-0.933030088805038,-0.237090910939659,-10.4352821151092,1,6.12630080969406,6.12630080969406,3.0,18.37890242908218,0.0303030303030303,0.0909090909090909,1.0,1.0,0.0606060606060606,6,2,3,3,6,0,6,3,2,0,4,2,1,6,6,10,1,3,0,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C(CCN1CCOCC1)CN1CCOCC1,screening,228.183778008,40,16,2,5,4,0,24.94,61.9794,1.293,1.05495883263048,83.675346415914,275.764355166884,-3.22182299301284,0.723391964831044,-5.85483698182709,6.90683178040299,7.44835827154535,1,7.21319865126641,-0.666565431325276,0.837362477251741,-10.5761097500046,2,3.606599325633205,14.42639730253282,1.0,7.21319865126641,0.05,0.05,1.0,1.0,0.05,7,2,6,6,12,4,4,6,4,2,4,0,1,4,4,12,2,2,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
